[-26, 5, 5, -60, -11, -33, 27, 4, -54, -5, -5, -36, 4, 10, 12, 30, 0, 50, -71, 81, -41, -12, 1, -50, 41, 59, 5, -9, -35, 8, 52, -40, -26, 18, 17, 18, 8, 3, 11, -51, -63, -6, 0, -21, -64, -32, -30, -3, -58, 30, -46, 7, 2, -83, 65, 25, 59, -10, 15, 35, -37, -31, -39, 27, -71, 33, 9, 24, 16, -45, -10, 3, 44, 44, -26]
[5, -17, 63, -50, -48, -20, -7, 2, -47, 22, 31, 18, -24, 6, 45, -5, 27, 12, 29, -29, -6, 18, 53, -23, 18, 28, -61, -19, -17, 8, -33, 28, 8, 37, -30, -39, -78, 53, -32, 34, 3, -9, 27, 61, 50, 20, 62, -61, -17, 19, -8, 27, -40, 26, 32, 7, 3, -40, -3, -17, -67, 63, -27, -21, -16, -19, 21, -3, 82, -19, 48, -27, -31, -69, 1]
[-17, -25, -37, 38, 19, -21, 24, 28, 29, 5, -28, 31, 5, -1, 21, 20, -36, -14, -49, 14, -80, -6, 41, -35, 64, 9, 69, -40, 10, 53, -11, -7, 11, 22, 5, 12, 19, -11, 17, -32, -55, -12, -7, 45, 14, 34, 40, 61, -37, -12, 1, -38, 39, 5, 63, -15, 35, -65, 10, 66, 38, -37, -2, -34, -12, -7, 7, 15, 1, 20, 11, 5, -38, 5, 8]
[40, 39, 22, -18, -37, 31, -57, 0, -39, 34, 10, -6, 11, 16, -46, 2, 29, -43, 4, 33, 21, 19, -13, 46, 13, -48, -3, 10, 19, -18, -60, 58, -28, 50, 28, 11, 44, 23, -8, 32, 35, -22, -21, 34, -6, -29, -33, -55, -5, -1, 20, 108, 3, -17, -28, 41, -39, -14, -20, -34, -1, 46, -41, -65, 12, -79, 18, -16, 22, -60, 21, -13, 40, -49, -54]
[-59, 74, 47, 86, -7, -24, 8, 14, -83, 52, 0, -42, 2, -40, 22, -43, 42, 33, 28, 30, 13, 20, -4, -13, -12, -21, -40, 94, -75, -40, -22, -23, 32, -23, -21, -36, -27, -21, -16, -28, -22, -70, 21, -37, -58, -3, 9, -18, -36, 50, 31, -81, -37, -32, -50, 57, 0, -4, 46, -26, 13, -74, 8, 40, 1, -18, -12, -11, 3, -2, -56, -3, 1, -18, 11]
[-22, -34, 14, -25, -25, 46, -39, 15, 35, 42, -18, -25, -2, -22, 19, -76, 72, -9, 89, 8, 41, -2, -1, -50, -16, 14, -7, -18, -6, 23, -25, 3, 53, -50, -11, -25, -16, -52, -84, 56, 10, 63, 42, -82, -15, -19, 15, -24, -39, 61, -43, -29, -36, 4, -61, 35, -29, 19, -31, -71, 12, -61, 35, 4, 5, -24, -62, -44, -41, -38, -13, 27, -73, -100, 33]
[27, 25, 9, -73, 3, 17, -21, 86, 11, 40, 23, 1, 60, 41, 20, -6, 27, -14, 23, 43, 16, 8, 8, 4, -37, 69, -28, 21, 46, -11, 14, 0, 62, -8, 22, 1, -11, -43, -43, 44, 31, 13, 10, -22, 19, 51, -34, -19, 33, -10, -36, 45, 1, -10, -14, -8, 14, 3, -11, -46, -23, -12, 44, -1, 40, 10, -42, -26, 25, -9, 14, 22, -13, -32, -5]
[-1, 60, -20, -7, 69, 34, 17, -29, 47, -52, -9, -22, 45, -2, -8, 29, -12, 23, -27, -34, 6, -62, -32, 2, -28, 70, 14, -56, -55, 29, 66, -70, -42, -18, -28, 30, -23, -20, 58, -67, -4, 55, 13, -3, 5, -14, -13, -46, 8, 47, 25, -26, 46, -40, 58, 6, -2, 55, -1, -20, 4, -27, -9, 75, -55, 2, -35, -7, -21, 36, -9, -15, -15, 70, -36]
[47, 28, 57, 46, 1, 46, -23, -67, 68, -59, 22, -11, -2, -52, -14, -13, -10, -5, 31, -38, 77, 30, -18, 7, 96, -17, 47, -36, 15, 37, -3, -45, -53, -9, 18, -1, 9, -20, 43, -76, 42, 18, -108, -33, -33, 6, -13, 3, 20, 45, -5, -11, -39, 38, -5, -73, -29, 36, 16, 5, 17, 37, 3, 5, 45, -22, 11, 50, -15, 75, -46, -41, 9, 30, -46]
[10, 14, -45, -12, -22, 53, -34, 28, 110, 34, -71, 20, -39, -40, -16, -68, -54, -47, -15, 9, -52, -27, -36, -17, 34, -21, 1, 12, -26, 5, -4, 12, 33, -21, 3, -3, -27, 35, -30, -11, -23, 73, 47, 31, -21, 18, 51, 36, -44, 52, 0, -18, 3, 12, 39, 18, 18, -37, -8, -25, -12, -27, 27, 5, 4, -99, 40, -59, 43, -53, 10, -32, -34, -79, -37]
